City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuchinsk,52.9306,158.4028,8.85,93,100,6.65,RU,1696277244
1,adamstown,-25.066,-130.1015,19.85,76,72,11.07,PN,1696277245
2,egilsstadir,65.2653,-14.3948,4.56,99,100,2.77,IS,1696277314
3,grytviken,-54.2811,-36.5092,2.64,97,100,5.84,GS,1696277407
4,albany,42.6001,-73.9662,25.51,50,44,0.89,US,1696276611
5,williston,48.147,-103.618,16.41,47,8,2.4,US,1696277287
6,lihue,21.9789,-159.3672,27.58,75,40,4.63,US,1696277253
7,hawaiian paradise park,19.5933,-154.9731,27.71,81,20,0.0,US,1696277407
8,sao miguel,-5.4667,-35.3667,27.43,74,99,6.49,BR,1696277119
9,margaret river,-33.95,115.0667,12.82,65,91,7.38,AU,1696277407
10,invercargill,-46.4,168.35,4.45,91,17,1.79,NZ,1696277407
11,la punta,-33.1837,-66.3127,27.07,22,44,3.13,AR,1696277407
12,weno,7.4515,151.8468,28.38,75,36,3.19,FM,1696277407
13,revda,56.801,59.9303,10.96,83,100,4.08,RU,1696277407
14,calvi,42.5,8.8333,15.35,88,0,2.57,FR,1696277407
15,thompson,55.7435,-97.8558,6.09,87,100,1.54,CA,1696277189
16,kargil,34.5667,76.1,5.46,59,0,2.41,IN,1696277408
17,sihanoukville,10.6093,103.5296,25.97,94,75,1.03,KH,1696277408
18,waitangi,-43.9535,-176.5597,11.01,87,94,3.13,NZ,1696277408
19,juan de ayolas,-27.4,-56.9,26.34,40,0,2.88,PY,1696277408
20,west island,-12.1568,96.8225,24.99,73,75,9.77,CC,1696277408
21,kismayo,-0.3582,42.5454,25.74,87,9,6.61,SO,1696277408
22,port elizabeth,-33.918,25.5701,17.95,81,0,0.89,ZA,1696277256
23,petropavlovsk-kamchatsky,53.0452,158.6483,8.03,94,100,6.71,RU,1696277408
24,wagga wagga,-35.1167,147.3667,24.36,60,100,3.31,AU,1696276871
25,jalqani,12.4486,34.2186,27.84,62,5,2.8,SD,1696277408
26,tsiombe,-25.3,45.4833,18.64,65,100,5.23,MG,1696277316
27,ribeira grande,38.5167,-28.7,20.22,68,20,4.63,PT,1696277408
28,blackmans bay,-43.0167,147.3167,14.07,70,100,7.08,AU,1696277409
29,port-aux-francais,-49.35,70.2167,1.88,69,83,14.97,TF,1696277409
30,college,64.8569,-147.8028,1.99,90,100,3.09,US,1696277271
31,la passe,45.5549,-0.8967,24.13,93,7,3.91,FR,1696277265
